season,position,team,games_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2013,1,Atlético Madrid,38,28,6,4,77,26,51,90
2013,2,Barcelona,38,27,6,5,100,33,67,87
2013,3,Real Madrid,38,27,6,5,104,38,66,87
2013,4,Athletic Club,38,20,10,8,66,39,27,70
2013,5,Sevilla FC,38,18,9,11,69,52,17,63
2013,6,Villarreal,38,17,8,13,60,44,16,59
2013,7,Real Sociedad,38,16,11,11,62,55,7,59
2013,8,Valencia,38,13,10,15,51,53,-2,49
2013,9,Celta Vigo,38,14,7,17,49,54,-5,49
2013,10,Levante,38,12,12,14,35,43,-8,48
2013,11,Málaga,38,12,9,17,39,46,-7,45
2013,12,Rayo Vallecano,38,13,4,21,46,80,-34,43
2013,13,Getafe,38,11,9,18,35,54,-19,42
2013,14,Espanyol,38,11,9,18,41,51,-10,42
2013,15,Granada,38,12,5,21,32,56,-24,41
2013,16,Elche,38,9,13,16,30,50,-20,40
2013,17,Almería,38,11,7,20,43,71,-28,40
2013,18,Osasuna,38,10,9,19,32,62,-30,39
2013,19,Real Valladolid,38,7,15,16,38,60,-22,36
2013,20,Real Betis,38,6,7,25,36,78,-42,25
