position,team,games_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
1,Alavés,0,0,0,0,0,0,0,0
2,Athletic Club,0,0,0,0,0,0,0,0
3,Atlético Madrid,0,0,0,0,0,0,0,0
4,Barcelona,0,0,0,0,0,0,0,0
5,Celta Vigo,0,0,0,0,0,0,0,0
6,Elche,0,0,0,0,0,0,0,0
7,Espanyol,0,0,0,0,0,0,0,0
8,Getafe,0,0,0,0,0,0,0,0
9,Girona,0,0,0,0,0,0,0,0
10,Levante,0,0,0,0,0,0,0,0
11,Mallorca,0,0,0,0,0,0,0,0
12,Osasuna,0,0,0,0,0,0,0,0
13,Rayo Vallecano,0,0,0,0,0,0,0,0
14,Real Betis,0,0,0,0,0,0,0,0
15,Real Madrid,0,0,0,0,0,0,0,0
16,Real Oviedo,0,0,0,0,0,0,0,0
17,Real Sociedad,0,0,0,0,0,0,0,0
18,Sevilla FC,0,0,0,0,0,0,0,0
19,Valencia,0,0,0,0,0,0,0,0
20,Villarreal,0,0,0,0,0,0,0,0
